market_id,slug,question,n_outcomes
2308005,spacex-ipo-closing-market-cap-above-3pt8t,SpaceX IPO closing market cap above $3.8T?,1
2308008,spacex-ipo-closing-market-cap-above-3pt2t,SpaceX IPO closing market cap above $3.2T?,1
2308007,spacex-ipo-closing-market-cap-above-3pt4t,SpaceX IPO closing market cap above $3.4T?,1
2308003,spacex-ipo-closing-market-cap-above-4t,SpaceX IPO closing market cap above $4T?,1
2308006,spacex-ipo-closing-market-cap-above-3pt6t,SpaceX IPO closing market cap above $3.6T?,1
2308024,spacex-ipo-closing-market-cap-above-2pt6t,SpaceX IPO closing market cap above $2.6T?,1
2308023,spacex-ipo-closing-market-cap-above-2pt8t,SpaceX IPO closing market cap above $2.8T?,1
1203147,will-elon-musk-buy-ryanair,Will Elon Musk buy Ryanair?,1
1250581,will-spacex-ipo-by-march-31-2026,"Will SpaceX IPO by March 31, 2026?",1
1250582,will-spacex-ipo-by-june-30-2026-372-264-619,"Will SpaceX IPO by June 30, 2026?",1
1250583,will-spacex-ipo-by-september-30-2026-832-864-576-595,"Will SpaceX IPO by September 30, 2026?",1
1250584,will-spacex-ipo-by-december-31-2026-773-178-618-527,"Will SpaceX IPO by December 31, 2026?",1
1720967,will-spacex-ipo-by-april-30-2026-245,"Will SpaceX IPO by April 30, 2026?",1
1720968,will-spacex-ipo-by-may-31-2026-259,"Will SpaceX IPO by May 31, 2026?",1
1720969,will-spacex-ipo-by-june-15-2026-789-854,"Will SpaceX IPO by June 15, 2026?",1
1971078,will-spacex-ipo-by-august-31-2026,"Will SpaceX IPO by August 31, 2026?",1
692245,ai-industry-downturn-by-december-31-2025,"AI Industry Downturn by December 31, 2025?",1
691336,ai-industry-downturn-by-march-31-2026-547,"AI Industry Downturn by March 31, 2026?",1
691340,ai-industry-downturn-by-december-31-2026-857,AI bubble burst in 2026?,1
1372532,will-marco-rubio-be-confirmed-to-have-visited-epsteins-island,Will Marco Rubio be confirmed to have visited Epstein’s island?,1
1370724,will-donald-trump-be-confirmed-to-have-visited-epsteins-island,Will Donald Trump be confirmed to have visited Epstein’s island?,1
1370726,will-hillary-clinton-be-confirmed-to-have-visited-epsteins-island,Will Hillary Clinton be confirmed to have visited Epstein’s island?,1
1370728,will-bill-gates-be-confirmed-to-have-visited-epsteins-island,Will Bill Gates be confirmed to have visited Epstein’s island?,1
1370730,will-steve-bannon-be-confirmed-to-have-visited-epsteins-island,Will Steve Bannon be confirmed to have visited Epstein’s island?,1
1370732,will-steven-tisch-be-confirmed-to-have-visited-epsteins-island,Will Steven Tisch be confirmed to have visited Epstein’s island?,1
1370734,will-noam-chomsky-be-confirmed-to-have-visited-epsteins-island,Will Noam Chomsky be confirmed to have visited Epstein’s island?,1
1370736,will-bill-cosby-be-confirmed-to-have-visited-epsteins-island,Will Bill Cosby be confirmed to have visited Epstein’s island?,1
1370738,will-jay-z-be-confirmed-to-have-visited-epsteins-island,Will Jay-Z be confirmed to have visited Epstein’s island?,1
1370723,will-elon-musk-be-confirmed-to-have-visited-epsteins-island,Will Elon Musk be confirmed to have visited Epstein’s island?,1
1370725,will-bill-clinton-be-confirmed-to-have-visited-epsteins-island,Will Bill Clinton be confirmed to have visited Epstein’s island?,1
1370727,will-kevin-spacey-be-confirmed-to-have-visited-epsteins-island,Will Kevin Spacey be confirmed to have visited Epstein’s island?,1
1370729,will-richard-branson-be-confirmed-to-have-visited-epsteins-island,Will Richard Branson be confirmed to have visited Epstein’s island?,1
1370731,will-woody-allen-be-confirmed-to-have-visited-epsteins-island,Will Woody Allen be confirmed to have visited Epstein’s island?,1
1370733,will-peter-attia-be-confirmed-to-have-visited-epsteins-island,Will Peter Attia be confirmed to have visited Epstein’s island?,1
1370735,will-deepak-chopra-be-confirmed-to-have-visited-epsteins-island,Will Deepak Chopra be confirmed to have visited Epstein’s island?,1
1370737,will-michael-jackson-be-confirmed-to-have-visited-epsteins-island,Will Michael Jackson be confirmed to have visited Epstein’s island?,1
1370739,will-harvey-weinstein-be-confirmed-to-have-visited-epsteins-island,Will Harvey Weinstein be confirmed to have visited Epstein’s island?,1
949495,fed-rate-cut-by-june-2026-meeting,Fed rate cut by June 2026 meeting?,1
949492,fed-rate-cut-by-january-2026-meeting-412,Fed rate cut by January 2026 meeting?,1
949494,fed-rate-cut-by-april-2026-meeting,Fed rate cut by April 2026 meeting?,1
949493,fed-rate-cut-by-march-2026-meeting,Fed rate cut by March 2026 meeting?,1
1439549,fed-rate-cut-by-september-2026-meeting-264-382,Fed rate cut by September 2026 meeting?,1
1439536,fed-rate-cut-by-july-2026-meeting-577,Fed rate cut by July 2026 meeting?,1
1439550,fed-rate-cut-by-october-2026-meeting-199-747,Fed rate cut by October 2026 meeting?,1
1439555,fed-rate-cut-by-december-2026-meeting,Fed rate cut by December 2026 meeting?,1
656310,will-openai-ipo-by-december-31-2025,Will OpenAI IPO by December 31 2025?,1
656311,will-openai-ipo-by-june-30-2026,Will OpenAI IPO by June 30 2026?,1
656312,will-openai-ipo-by-december-31-2026,Will OpenAI IPO by December 31 2026?,1
2314474,will-openai-ipo-by-july-31-2026,Will OpenAI IPO by July 31 2026?,1
2314379,will-openai-ipo-by-september-30-2026,Will OpenAI IPO by September 30 2026?,1
2314378,will-openai-ipo-by-august-31-2026,Will OpenAI IPO by August 31 2026?,1
996324,will-openai-have-a-1-ai-model-by-june-30,Will OpenAI have a #1 AI model by June 30?,1
996325,will-deepseek-have-a-1-ai-model-by-june-30,Will DeepSeek have a #1 AI model by June 30?,1
996326,will-xai-have-a-1-ai-model-by-june-30,Will xAI have a #1 AI model by June 30?,1
996327,will-anthropic-have-a-1-ai-model-by-june-30,Will Anthropic have a #1 AI model by June 30?,1
996328,will-meta-have-a-1-ai-model-by-june-30,Will Meta have a #1 AI model by June 30?,1
996329,will-mistral-have-a-1-ai-model-by-june-30,Will Mistral have a #1 AI model by June 30?,1
996330,will-alibaba-have-a-1-ai-model-by-june-30,Will Alibaba have a #1 AI model by June 30?,1
996331,will-nvidia-have-a-1-ai-model-by-june-30,Will Nvidia have a #1 AI model by June 30?,1
996332,will-baidu-have-a-1-ai-model-by-june-30,Will Baidu have a #1 AI model by June 30?,1
996333,will-zai-have-a-1-ai-model-by-june-30,Will Z.ai have a #1 AI model by June 30?,1
996334,will-meituan-have-a-1-ai-model-by-june-30,Will Meituan have a #1 AI model by June 30?,1
609655,us-recession-by-end-of-2026,US recession by end of 2026?,1
690197,will-the-feds-upper-bound-reach-5pt0-or-higher-before-2027-783,Will the Fed’s upper bound reach 5.0% or higher before 2027?,1
690199,will-the-feds-upper-bound-reach-5pt25-or-higher-before-2027-679,Will the Fed’s upper bound reach 5.25% or higher before 2027?,1
690201,will-the-feds-upper-bound-reach-4pt75-or-higher-before-2027-445-397,Will the Fed’s upper bound reach 4.75% or higher before 2027?,1
690203,will-the-feds-lower-bound-reach-2pt0-or-lower-before-2027-998-393-918-642-545-695-628,Will the Fed’s lower bound reach 2.0% or lower before 2027?,1
690205,will-the-feds-lower-bound-reach-1pt25-or-lower-before-2027-683-273-676-864-498-519,Will the Fed’s lower bound reach 1.25% or lower before 2027?,1
690207,will-the-feds-lower-bound-reach-1pt75-or-lower-before-2027-123-334-678-153-953-848-473,Will the Fed’s lower bound reach 1.75% or lower before 2027?,1
690209,will-the-feds-lower-bound-reach-0pt5-or-lower-before-2027-459-115-473-497-424-381-849,Will the Fed’s lower bound reach 0.5% or lower before 2027?,1
690211,will-the-feds-lower-bound-reach-0-or-lower-before-2027-196-363-557-457-329-251-881,Will the Fed’s lower bound reach 0% or lower before 2027?,1
690220,will-the-feds-lower-bound-reach-3pt0-or-lower-before-2027-676-111,Will the Fed’s lower bound reach 3.0% or lower before 2027?,1
690221,will-the-feds-lower-bound-reach-3pt25-or-lower-before-2027-269,Will the Fed’s lower bound reach 3.25% or lower before 2027?,1
690198,will-the-feds-upper-bound-reach-5pt5-or-higher-before-2027-767,Will the Fed’s upper bound reach 5.5% or higher before 2027?,1
690200,will-the-feds-upper-bound-reach-4pt5-or-higher-before-2027-835-459,Will the Fed’s upper bound reach 4.5% or higher before 2027?,1
690202,will-the-feds-upper-bound-reach-4pt25-or-higher-before-2027,Will the Fed’s upper bound reach 4.25% or higher before 2027?,1
690204,will-the-feds-lower-bound-reach-1pt0-or-lower-before-2027-913-827-367-957-973-514,Will the Fed’s lower bound reach 1.0% or lower before 2027?,1
690206,will-the-feds-lower-bound-reach-1pt5-or-lower-before-2027-323-587-832-877-443,Will the Fed’s lower bound reach 1.5% or lower before 2027?,1
690208,will-the-feds-lower-bound-reach-0pt75-or-lower-before-2027-363-525-928-736-291-548-229,Will the Fed’s lower bound reach 0.75% or lower before 2027?,1
690210,will-the-feds-lower-bound-reach-0pt25-or-lower-before-2027-173-921-916-764-754-593-935,Will the Fed’s lower bound reach 0.25% or lower before 2027?,1
690212,will-the-feds-lower-bound-reach-2pt25-or-lower-before-2027-766-981-398-889-982,Will the Fed’s lower bound reach 2.25% or lower before 2027?,1
690215,will-the-feds-lower-bound-reach-2pt75-or-lower-before-2027-448-727-854,Will the Fed’s lower bound reach 2.75% or lower before 2027?,1
690214,will-the-feds-lower-bound-reach-2pt5-or-lower-before-2027-289-849-151-768,Will the Fed’s lower bound reach 2.5% or lower before 2027?,1
690225,will-the-feds-lower-bound-reach-3pt5-or-lower-before-2027,Will the Fed’s lower bound reach 3.5% or lower before 2027?,1
1298648,openai-ipo-closing-market-cap-above-800b,OpenAI IPO closing market cap above $800B?,1
1298649,openai-ipo-closing-market-cap-above-1t,OpenAI IPO closing market cap above $1T?,1
1298657,openai-ipo-closing-market-cap-above-1pt2t,OpenAI IPO closing market cap above $1.2T?,1
1298659,openai-ipo-closing-market-cap-above-1pt6t,OpenAI IPO closing market cap above $1.6T?,1
1298658,openai-ipo-closing-market-cap-above-1pt4t,OpenAI IPO closing market cap above $1.4T?,1
908713,fed-rate-hike-in-2026,Fed rate hike in 2026?,1
2154920,will-gamestop-acquire-ebay,Will GameStop acquire eBay?,1
2307824,will-anthropics-valuation-hit-high-4pt0t-by-december-31,Will Anthropic's valuation hit (HIGH) $4.0T by December 31?,1
2307825,will-anthropics-valuation-hit-high-5pt0t-by-december-31,Will Anthropic's valuation hit (HIGH) $5.0T by December 31?,1
2299957,will-anthropics-valuation-hit-high-1pt25t-by-december-31-429,Will Anthropic's valuation hit (HIGH) $1.25T by December 31?,1
2299962,will-anthropics-valuation-hit-low-600b-by-december-31-732,Will Anthropic's valuation hit (LOW) $600B by December 31?,1
2299959,will-anthropics-valuation-hit-high-1pt0t-by-december-31-878,Will Anthropic's valuation hit (HIGH) $1.0T by December 31?,1
2299952,will-anthropics-valuation-hit-high-3pt0t-by-december-31,Will Anthropic's valuation hit (HIGH) $3.0T by December 31?,1
2299954,will-anthropics-valuation-hit-high-2pt0t-by-december-31-922,Will Anthropic's valuation hit (HIGH) $2.0T by December 31?,1
2299955,will-anthropics-valuation-hit-high-1pt75t-by-december-31-328,Will Anthropic's valuation hit (HIGH) $1.75T by December 31?,1
2299958,will-anthropics-valuation-hit-high-1pt1t-by-december-31-646,Will Anthropic's valuation hit (HIGH) $1.1T by December 31?,1
2299953,will-anthropics-valuation-hit-high-2pt5t-by-december-31-169,Will Anthropic's valuation hit (HIGH) $2.5T by December 31?,1
2299956,will-anthropics-valuation-hit-high-1pt5t-by-december-31-797,Will Anthropic's valuation hit (HIGH) $1.5T by December 31?,1
2299960,will-anthropics-valuation-hit-low-800b-by-december-31-957-743,Will Anthropic's valuation hit (LOW) $800B by December 31?,1
2299961,will-anthropics-valuation-hit-low-700b-by-december-31-928,Will Anthropic's valuation hit (LOW) $700B by December 31?,1
680950,will-inflation-reach-more-than-4-in-2026-669,Will inflation reach more than 4% in 2026?,1
680954,will-inflation-reach-more-than-10-in-2026-741,Will inflation reach more than 10% in 2026?,1
680951,will-inflation-reach-more-than-5-in-2026-282-763,Will inflation reach more than 5% in 2026?,1
680949,will-inflation-reach-more-than-3-in-2026,Will inflation reach more than 3% in 2026?,1
680953,will-inflation-reach-more-than-8-in-2026-897-311,Will inflation reach more than 8% in 2026?,1
680952,will-inflation-reach-more-than-6-in-2026-978-634,Will inflation reach more than 6% in 2026?,1
1665896,will-inflation-reach-more-than-3pt5-in-2026-154,Will inflation reach more than 3.5% in 2026?,1
2241741,will-inflation-reach-more-than-4pt5-in-2026,Will inflation reach more than 4.5% in 2026?,1
563650,scotus-accepts-sports-event-contract-case-by-july-31-2026,"SCOTUS accepts sports event contract case by July 31, 2026?     ",1
1231857,scotus-accepts-sports-event-contract-case-by-december-31-2026,"SCOTUS accepts sports event contract case by December 31, 2026?",1
1184762,will-elon-musk-win-his-case-against-sam-altman,Will Elon Musk win his case against Sam Altman?,1
687554,sundar-pichai-out-as-google-ceo-before-2027,Sundar Pichai out as Google CEO before 2027?,1
687556,dan-clancy-out-as-twitch-ceo-before-2027,Dan Clancy out as Twitch CEO before 2027?,1
687558,brian-armstrong-out-as-coinbase-ceo-before-2027,Brian Armstrong out as Coinbase CEO before 2027?,1
687555,tim-cook-out-as-apple-ceo-before-2027,Tim Cook out as Apple CEO before 2027?,1
687557,andy-jassy-out-as-amazon-ceo-before-2027,Andy Jassy out as Amazon CEO before 2027?,1
687559,sam-altman-out-as-openai-ceo-before-2027,Sam Altman out as OpenAI CEO before 2027?,1
836162,elon-musk-trillionaire-before-2027,Elon Musk trillionaire before 2027?,1
1067175,will-jpmorgan-chase-fail-by-june-30-2026,"Will JPMorgan Chase fail by June 30, 2026?",1
1067176,will-hsbc-fail-by-june-30-2026,"Will HSBC fail by June 30, 2026?",1
1067177,will-scotiabank-fail-by-june-30-2026,"Will Scotiabank fail by June 30, 2026?",1
1067178,will-bnp-paribas-fail-by-june-30-2026,"Will BNP Paribas fail by June 30, 2026?",1
1067179,will-ubs-fail-by-june-30-2026,"Will UBS fail by June 30, 2026?",1
1067180,will-deutsche-bank-fail-by-june-30-2026,"Will Deutsche Bank fail by June 30, 2026?",1
1067181,will-citigroup-fail-by-june-30-2026,"Will Citigroup fail by June 30, 2026?",1
1067182,will-goldman-sachs-fail-by-june-30-2026,"Will Goldman Sachs fail by June 30, 2026?",1
1918828,will-lloyds-fail-by-june-30-2026,"Will Lloyds fail by June 30, 2026?",1
1918836,will-bmo-fail-by-june-30-2026,"Will BMO fail by June 30, 2026?",1
1918827,will-santander-fail-by-june-30-2026,"Will Santander fail by June 30, 2026?",1
1918837,will-keybank-fail-by-june-30-2026,"Will KeyBank fail by June 30, 2026?",1
1918774,will-morgan-stanley-fail-by-june-30-2026,"Will Morgan Stanley fail by June 30, 2026?",1
1918793,will-wells-fargo-fail-by-june-30-2026,"Will Wells Fargo fail by June 30, 2026?",1
1918804,will-rbc-fail-by-june-30-2026,"Will RBC fail by June 30, 2026?",1
1918794,will-us-bank-fail-by-june-30-2026,"Will US Bank fail by June 30, 2026?",1
1918795,will-truist-fail-by-june-30-2026,"Will Truist fail by June 30, 2026?",1
1918789,will-bank-of-america-fail-by-june-30-2026,"Will Bank of America fail by June 30, 2026?",1
1918803,will-bny-fail-by-june-30-2026,"Will BNY fail by June 30, 2026?",1
2307896,will-openais-valuation-hit-high-4pt0t-by-december-31-643,Will OpenAI's valuation hit (HIGH) $4.0T by December 31?,1
2307904,will-openais-valuation-hit-high-5pt0t-by-december-31,Will OpenAI's valuation hit (HIGH) $5.0T by December 31?,1
2299985,will-openais-valuation-hit-high-2pt5t-by-december-31-538-161,Will OpenAI's valuation hit (HIGH) $2.5T by December 31?,1
2299987,will-openais-valuation-hit-high-1pt75t-by-december-31-882-628,Will OpenAI's valuation hit (HIGH) $1.75T by December 31?,1
2299984,will-openais-valuation-hit-high-3pt0t-by-december-31-688-311,Will OpenAI's valuation hit (HIGH) $3.0T by December 31?,1
2299986,will-openais-valuation-hit-high-2pt0t-by-december-31-937-533,Will OpenAI's valuation hit (HIGH) $2.0T by December 31?,1
2299988,will-openais-valuation-hit-high-1pt5t-by-december-31-574-287,Will OpenAI's valuation hit (HIGH) $1.5T by December 31?,1
2299989,will-openais-valuation-hit-high-1pt25t-by-december-31-366-424,Will OpenAI's valuation hit (HIGH) $1.25T by December 31?,1
2299991,will-openais-valuation-hit-high-900b-by-december-31-942-235,Will OpenAI's valuation hit (HIGH) $900B by December 31?,1
2299993,will-openais-valuation-hit-low-750b-by-december-31-995-138,Will OpenAI's valuation hit (LOW) $750B by December 31?,1
2299995,will-openais-valuation-hit-low-600b-by-december-31-187-246,Will OpenAI's valuation hit (LOW) $600B by December 31?,1
2299990,will-openais-valuation-hit-high-1pt0t-by-december-31-846-461,Will OpenAI's valuation hit (HIGH) $1.0T by December 31?,1
2299992,will-openais-valuation-hit-low-800b-by-december-31-852-948,Will OpenAI's valuation hit (LOW) $800B by December 31?,1
2299994,will-openais-valuation-hit-low-700b-by-december-31-939-865,Will OpenAI's valuation hit (LOW) $700B by December 31?,1
2299996,will-openais-valuation-hit-low-500b-by-december-31-785-717,Will OpenAI's valuation hit (LOW) $500B by December 31?,1
1087309,will-us-unemployment-reach-at-least-5pt0-in-2026,Will US unemployment reach at least 5.0% in 2026?,1
1087310,will-us-unemployment-reach-at-least-5pt5-in-2026,Will US unemployment reach at least 5.5% in 2026?,1
1087311,will-us-unemployment-reach-at-least-6pt0-in-2026,Will US unemployment reach at least 6.0% in 2026?,1
1087312,will-us-unemployment-reach-at-least-7pt0-in-2026,Will US unemployment reach at least 7.0% in 2026?,1
1087313,will-us-unemployment-reach-at-least-10pt0-in-2026,Will US unemployment reach at least 10.0% in 2026?,1
1296852,tesla-and-spacex-merger-officially-announced-by-june-30,Tesla and SpaceX merger officially announced by June 30?,1
2252540,tesla-and-spacex-merger-officially-announced-by-december-31,Tesla and SpaceX merger officially announced by December 31?,1
1115676,jerome-powell-out-from-fed-board-by-may-30,Jerome Powell out from Fed Board by May 30?,1
1115677,jerome-powell-out-from-fed-board-by-december-31,Jerome Powell out from Fed Board by December 31?,1
1285273,will-google-gemini-score-at-least-55-on-humanitys-last-exam,Will Google Gemini score at least 55% on Humanity’s Last Exam?,1
1285274,will-google-gemini-score-at-least-60-on-humanitys-last-exam,Will Google Gemini score at least 60% on Humanity’s Last Exam?,1
1285272,will-google-gemini-score-at-least-50-on-humanitys-last-exam,Will Google Gemini score at least 50% on Humanity’s Last Exam?,1
1285271,will-google-gemini-score-at-least-45-on-humanitys-last-exam,Will Google Gemini score at least 45% on Humanity’s Last Exam?,1
1285270,will-google-gemini-score-at-least-40-on-humanitys-last-exam,Will Google Gemini score at least 40% on Humanity’s Last Exam?,1
1073747,5kt-meteor-strike-in-2026,5kt meteor strike in 2026?,1
1125375,spx-hit-7450-high-jun-2026-297-119,"Will S&P 500 (SPX) hit $7,450 (HIGH) in June?",1
1125378,spx-hit-7050-high-jun-2026-135-352,"Will S&P 500 (SPX) hit $7,050 (HIGH) in June?",1
1125380,spx-hit-6600-low-jun-2026-352-622,"Will S&P 500 (SPX) hit $6,600 (LOW) in June?",1
1125374,spx-hit-7700-high-jun-2026-675,"Will S&P 500 (SPX) hit $7,700 (HIGH) in June?",1
1125383,spx-hit-6000-low-jun-2026-898-611,"Will S&P 500 (SPX) hit $6,000 (LOW) in June?",1
1125373,spx-hit-8000-high-jun-2026,"Will S&P 500 (SPX) hit $8,000 (HIGH) in June?",1
1125377,spx-hit-7150-high-jun-2026-776-694,"Will S&P 500 (SPX) hit $7,150 (HIGH) in June?",1
1125376,spx-hit-7300-high-jun-2026-484-541,"Will S&P 500 (SPX) hit $7,300 (HIGH) in June?",1
1125379,spx-hit-6700-low-jun-2026-174-844,"Will S&P 500 (SPX) hit $6,700 (LOW) in June?",1
1125381,spx-hit-6500-low-jun-2026-379-643,"Will S&P 500 (SPX) hit $6,500 (LOW) in June?",1
1125382,spx-hit-6300-low-jun-2026-743-323,"Will S&P 500 (SPX) hit $6,300 (LOW) in June?",1
2236208,will-sp-500-spx-hit-7850-high-in-june,"Will S&P 500 (SPX) hit $7,850 (HIGH) in June?",1
2236209,will-sp-500-spx-hit-7100-low-in-june-123,"Will S&P 500 (SPX) hit $7,100 (LOW) in June?",1
2236210,will-sp-500-spx-hit-6900-low-in-june-582,"Will S&P 500 (SPX) hit $6,900 (LOW) in June?",1
2236211,will-sp-500-spx-hit-6700-low-in-june-989,"Will S&P 500 (SPX) hit $6,700 (LOW) in June?",1
2236212,will-sp-500-spx-hit-6500-low-in-june-283,"Will S&P 500 (SPX) hit $6,500 (LOW) in June?",1
2236358,will-sp-500-spx-hit-7600-high-in-june,"Will S&P 500 (SPX) hit $7,600 (HIGH) in June?",1
1295976,will-openai-announce-earbuds-or-headphones-in-2026,Will OpenAI announce earbuds or headphones in 2026?,1
1295978,will-openai-announce-a-necklace-style-wearable-in-2026,Will OpenAI announce a necklace-style wearable in 2026?,1
1295980,will-openai-announce-glasses-in-2026,Will OpenAI announce glasses in 2026?,1
1295982,will-openai-announce-a-phone-in-2026,Will OpenAI announce a phone in 2026?,1
1295984,will-openai-announce-a-head-mounted-display-in-2026,Will OpenAI announce a head-mounted display in 2026?,1
1295977,will-openai-announce-a-clip-on-device-for-clothing-in-2026,Will OpenAI announce a clip-on device for clothing in 2026?,1
1295979,will-openai-announce-a-watch-in-2026,Will OpenAI announce a watch in 2026?,1
1295981,will-openai-announce-a-ring-in-2026,Will OpenAI announce a ring in 2026?,1
1295983,will-openai-announce-a-tablet-in-2026,Will OpenAI announce a tablet in 2026?,1
1295985,will-openai-announce-a-computer-laptopdesktop-in-2026,Will OpenAI announce a computer (Laptop/Desktop) in 2026?,1
1285583,will-an-anthropic-claude-model-score-at-least-30-on-humanitys-last-exam,Will an Anthropic Claude model score at least 30% on Humanity’s Last Exam?,1
1285584,will-an-anthropic-claude-model-score-at-least-35-on-humanitys-last-exam,Will an Anthropic Claude model score at least 35% on Humanity’s Last Exam?,1
1285586,will-an-anthropic-claude-model-score-at-least-45-on-humanitys-last-exam,Will an Anthropic Claude model score at least 45% on Humanity’s Last Exam?,1
1999854,will-an-anthropic-claude-model-score-at-least-55-on-humanitys-last-exam,Will an Anthropic Claude model score at least 55% on Humanity’s Last Exam?,1
1999853,will-an-anthropic-claude-model-score-at-least-50-on-humanitys-last-exam,Will an Anthropic Claude model score at least 50% on Humanity’s Last Exam?,1
2129204,chirayu-rana-apologizes-for-sexual-harassment-allegations,Chirayu Rana apologizes for sexual harassment allegations?,1
920210,will-apple-release-a-new-product-line-before-2027,Will Apple release a new product line before 2027?,1
656313,openai-1t-ipo-before-2027,OpenAI $1t+ IPO before 2027?,1
1164197,jerome-powell-federally-charged-by-june-30,Jerome Powell federally charged by June 30?,1
2046618,us-takes-a-stake-in-spirit-airlines-by-may-31,US takes a stake in Spirit Airlines by May 31?,1
