market_id,slug,question,n_outcomes
2110293,will-a-new-gemini-flagship-be-released-by-may-31-2026-623-692-974,"Will a new Gemini flagship be released by May 31, 2026?",1
2110294,will-a-new-gemini-flagship-be-released-by-june-30-2026-184-989-265,"Will a new Gemini flagship be released by June 30, 2026?",1
2125427,will-a-new-gemini-flagship-be-released-by-may-8-2026,"Will a new Gemini flagship be released by May 8, 2026?",1
2125429,will-a-new-gemini-flagship-be-released-by-may-22-2026,"Will a new Gemini flagship be released by May 22, 2026?",1
2125428,will-a-new-gemini-flagship-be-released-by-may-15-2026,"Will a new Gemini flagship be released by May 15, 2026?",1
675595,will-waymo-launch-in-new-york-city-by-june-30-2026,Will Waymo launch in New York City by June 30 2026?,1
675597,will-waymo-launch-in-miami-by-june-30-2026,Will Waymo launch in Miami by June 30 2026?,1
675599,will-waymo-launch-in-dallas-by-june-30-2026,Will Waymo launch in Dallas by June 30 2026?,1
675601,will-waymo-launch-in-detroit-by-june-30-2026,Will Waymo launch in Detroit by June 30 2026?,1
675596,will-waymo-launch-in-washington-dc-by-june-30-2026,Will Waymo launch in Washington DC by June 30 2026?,1
675598,will-waymo-launch-in-nashville-by-june-30-2026,Will Waymo launch in Nashville by June 30 2026?,1
675600,will-waymo-launch-in-denver-by-june-30-2026,Will Waymo launch in Denver by June 30 2026?,1
675602,will-waymo-launch-in-las-vegas-by-june-30-2026,Will Waymo launch in Las Vegas by June 30 2026?,1
676451,will-waymo-launch-in-london-by-june-30-2026,Will Waymo launch in London by June 30 2026?,1
2361492,claude-4pt8-released-by-june-30,Claude 4.8 released by June 30?,1
2361490,claude-4pt8-released-by-may-31,Claude 4.8 released by May 31?,1
2361493,claude-4pt8-released-by-july-31,Claude 4.8 released by July 31?,1
2361491,claude-4pt8-released-by-june-15,Claude 4.8 released by June 15?,1
2125755,gpt-5pt6-released-by-may-31-2026-315,"GPT-5.6 released by May 31, 2026?",1
2132399,gpt-5pt6-released-by-may-15-2026,"GPT-5.6 released by May 15, 2026?",1
2132400,gpt-5pt6-released-by-may-22-2026,"GPT-5.6 released by May 22, 2026?",1
2100069,gpt-5pt6-released-by-june-30-2026-522-692-467,"GPT-5.6 released by June 30, 2026?",1
2100070,gpt-5pt6-released-by-july-31-2026-454-326-913,"GPT-5.6 released by July 31, 2026?",1
2303132,gpt-5pt6-released-by-june-5-2026,"GPT-5.6 released by June 5, 2026?",1
2268845,gpt-5pt6-released-by-june-15-2026-343,"GPT-5.6 released by June 15, 2026?",1
2294941,gpt-5pt6-released-by-june-8-2026-884,"GPT-5.6 released by June 8, 2026?",1
920401,will-apple-release-a-foldable-iphone-before-2027,Will Apple release a foldable iPhone before 2027?,1
2160164,trump-orders-federal-review-for-ai-model-releases-by-may-31,Trump orders federal review of AI model releases by May 31?,1
2363609,trump-orders-federal-review-of-ai-model-releases-by-june-30,Trump orders federal review of AI model releases by June 30?,1
2100840,elon-musk-wins-10b-settlement-against-altmanopenai,Elon Musk wins $10b+ settlement against Altman/OpenAI?,1
1509260,will-anthropic-make-a-deal-with-the-pentagon-by-april-30,Will Anthropic make a deal with the Pentagon by April 30?,1
2034722,will-anthropic-make-a-deal-with-the-pentagon-by-june-30,Will Anthropic make a deal with the Pentagon by June 30?,1
2097648,will-anthropic-make-a-deal-with-the-pentagon-by-may-31,Will Anthropic make a deal with the Pentagon by May 31?,1
921947,will-apple-release-iphone-18-in-2026,Will Apple release iPhone 18 in 2026?,1
2132422,will-the-next-model-released-by-openai-debut-at-a-score-of-at-least-1480-483-112,Will the next model released by OpenAI debut at a score of at least 1480?,1
2132424,will-the-next-model-released-by-openai-debut-at-a-score-of-at-least-1520-531-136,Will the next model released by OpenAI debut at a score of at least 1520?,1
2132423,will-the-next-model-released-by-openai-debut-at-a-score-of-at-least-1500-556-351,Will the next model released by OpenAI debut at a score of at least 1500?,1
2169894,will-the-next-model-released-by-openai-debut-at-a-score-of-at-least-1470-465,Will the next model released by OpenAI debut at a score of at least 1470?,1
2169896,will-the-next-model-released-by-openai-debut-at-a-score-of-at-least-1450,Will the next model released by OpenAI debut at a score of at least 1450?,1
676842,us-enacts-ai-safety-bill-before-2027,U.S. enacts AI safety bill before 2027?,1
611054,will-tesla-release-optimus-by-june-30-2026,"Will Tesla release Optimus by June 30, 2026?",1
1243588,will-tesla-release-optimus-by-december-31-2026,"Will Tesla release Optimus by December 31, 2026?",1
1087073,will-any-ai-model-reach-a-chatbot-arena-score-of-at-least-1500-by-december-31,Will any AI model reach a Chatbot Arena score of at least 1500 by December 31?,1
1087074,will-any-ai-model-reach-a-chatbot-arena-score-of-at-least-1550-by-december-31,Will any AI model reach a Chatbot Arena score of at least 1550 by December 31?,1
1087075,will-any-ai-model-reach-a-chatbot-arena-score-of-at-least-1600-by-december-31,Will any AI model reach a Chatbot Arena score of at least 1600 by December 31?,1
1370549,will-any-ai-model-reach-a-chatbot-arena-score-of-at-least-1650-by-december-31,Will any AI model reach a Chatbot Arena score of at least 1650 by December 31?,1
1370551,will-any-ai-model-reach-a-chatbot-arena-score-of-at-least-1700-by-december-31,Will any AI model reach a Chatbot Arena score of at least 1700 by December 31?,1
920846,gemini-4pt0-released-by-june-30-2026,"Gemini 4.0 released by June 30, 2026?",1
653788,openai-announces-it-has-achieved-agi-before-2027,OpenAI announces it has achieved AGI before 2027?,1
1285711,will-any-anthropic-claude-model-score-at-least-25-on-the-frontiermath-exam,Will any Anthropic Claude model score at least 25% on the FrontierMath Exam?,1
1285713,will-any-anthropic-claude-model-score-at-least-50-on-the-frontiermath-exam,Will any Anthropic Claude model score at least 50% on the FrontierMath Exam?,1
1285712,will-any-anthropic-claude-model-score-at-least-30-on-the-frontiermath-exam,Will any Anthropic Claude model score at least 30% on the FrontierMath Exam?,1
1285714,will-any-anthropic-claude-model-score-at-least-40-on-the-frontiermath-exam,Will any Anthropic Claude model score at least 40% on the FrontierMath Exam?,1
negrisk::100229,evt::who-will-close-warner-bros-acquisition,Who will close Warner Bros. acquisition?,15
negrisk::206787,evt::which-companys-ai-will-first-hit-1550-on-chatbot-arena-in-2026,Which company's AI will first hit 1550 on Chatbot Arena in 2026?,32
negrisk::376442,evt::which-company-has-the-1-ai-model-end-of-may-style-control-on,Which company has the #1 AI model end of May? (Style Control On),29
negrisk::376503,evt::which-company-has-the-third-best-ai-model-end-of-may,Which company has the third best AI model end of May?,29
negrisk::376512,evt::which-company-has-the-second-best-ai-model-end-of-may,Which company has the second best AI model end of May?,29
negrisk::376520,evt::which-company-has-the-best-ai-model-end-of-may,Which company has the best AI model end of May?,29
negrisk::414034,evt::which-company-has-the-best-coding-ai-model-end-of-may,Which company has the best Coding AI model end of May?,29
negrisk::414059,evt::which-company-has-the-best-math-ai-model-end-of-may,Which company has the best Math AI model end of May?,29
negrisk::57704,evt::which-company-has-top-ai-model-end-of-june-style-control-on,Which company has top AI model end of June? (Style Control On),19
negrisk::57705,evt::which-company-has-best-ai-model-end-of-june,Which company has best AI model end of June?,19
negrisk::57708,evt::which-company-has-second-best-ai-model-end-of-june,Which company has second best AI model end of June?,19
negrisk::78470,evt::how-many-cities-will-waymo-operate-in-by-june-30-2026,How many cities will Waymo operate in by June 30?,8
