market_id,micro_group_id,group_label,relationship,rank,confidence,rationale
2160164,tech-11,Trump federal AI-release review deadline ladder,IMPLIES,1,high,Same federal-review action criteria; the earlier deadline strictly implies the later one.
2363609,tech-11,Trump federal AI-release review deadline ladder,IMPLIES,2,high,Same federal-review action criteria; the earlier deadline strictly implies the later one.
2132424,tech-12,OpenAI next-model Arena debut-score ladder,IMPLIES,1,high,Same next-OpenAI-model debut; a higher debut Arena score implies clearing every lower one.
2132423,tech-12,OpenAI next-model Arena debut-score ladder,IMPLIES,2,high,Same next-OpenAI-model debut; a higher debut Arena score implies clearing every lower one.
2132422,tech-12,OpenAI next-model Arena debut-score ladder,IMPLIES,3,high,Same next-OpenAI-model debut; a higher debut Arena score implies clearing every lower one.
2169894,tech-12,OpenAI next-model Arena debut-score ladder,IMPLIES,4,high,Same next-OpenAI-model debut; a higher debut Arena score implies clearing every lower one.
2169896,tech-12,OpenAI next-model Arena debut-score ladder,IMPLIES,5,high,Same next-OpenAI-model debut; a higher debut Arena score implies clearing every lower one.
1370551,tech-13,Any-model Arena score-by-Dec-31 ladder,IMPLIES,1,high,Any model reaching a higher Arena score by Dec 31 implies reaching every lower score.
1370549,tech-13,Any-model Arena score-by-Dec-31 ladder,IMPLIES,2,high,Any model reaching a higher Arena score by Dec 31 implies reaching every lower score.
1087075,tech-13,Any-model Arena score-by-Dec-31 ladder,IMPLIES,3,high,Any model reaching a higher Arena score by Dec 31 implies reaching every lower score.
1087074,tech-13,Any-model Arena score-by-Dec-31 ladder,IMPLIES,4,high,Any model reaching a higher Arena score by Dec 31 implies reaching every lower score.
1087073,tech-13,Any-model Arena score-by-Dec-31 ladder,IMPLIES,5,high,Any model reaching a higher Arena score by Dec 31 implies reaching every lower score.
negrisk::376442,tech-14,#1 Arena company end of May (SC on vs off),EQUIVALENT,,med,Same question (which company holds the #1 Arena model on May 31) differing only by style-control toggle.
negrisk::376520,tech-14,#1 Arena company end of May (SC on vs off),EQUIVALENT,,med,Same question (which company holds the #1 Arena model on May 31) differing only by style-control toggle.
negrisk::57704,tech-15,#1 Arena company end of June (SC on vs off),EQUIVALENT,,med,Same question (which company holds the #1 Arena model on Jun 30) differing only by style-control toggle.
negrisk::57705,tech-15,#1 Arena company end of June (SC on vs off),EQUIVALENT,,med,Same question (which company holds the #1 Arena model on Jun 30) differing only by style-control toggle.
